"id_sequence" ,"matrix"                                                                                                                                   ,"sequence"
            1 ,"[[4, 7, 14, 31, 68, 145], [3, 7, 17, 37, 77, 0], [4, 10, 20, 40, 0, 0], [6, 10, 20, 0, 0, 0], [4, 10, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"   ,"[4, 7, 14, 31, 68, 145, 298, 585, 1092, 1939]"
            2 ,"[[3, 6, 11, 22, 47, 101], [3, 5, 11, 25, 54, 0], [2, 6, 14, 29, 0, 0], [4, 8, 15, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"      ,"[3, 6, 11, 22, 47, 101, 209, 409, 755, 1320]"
            3 ,"[[4, 8, 16, 32, 66, 136], [4, 8, 16, 34, 70, 0], [4, 8, 18, 36, 0, 0], [4, 10, 18, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[4, 8, 16, 32, 66, 136, 270, 508, 904, 1528]"
            4 ,"[[4, 7, 15, 33, 69, 137], [3, 8, 18, 36, 68, 0], [5, 10, 18, 32, 0, 0], [5, 8, 14, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[4, 7, 15, 33, 69, 137, 260, 473, 826, 1387]"
            5 ,"[[5, 7, 14, 30, 60, 111], [2, 7, 16, 30, 51, 0], [5, 9, 14, 21, 0, 0], [4, 5, 7, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[5, 7, 14, 30, 60, 111, 193, 320, 511, 791]"
            6 ,"[[2, 3, 9, 21, 46, 102], [1, 6, 12, 25, 56, 0], [5, 6, 13, 31, 0, 0], [1, 7, 18, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[2, 3, 9, 21, 46, 102, 223, 464, 906, 1661]"
            7 ,"[[6, 12, 23, 44, 85, 165], [6, 11, 21, 41, 80, 0], [5, 10, 20, 39, 0, 0], [5, 10, 19, 0, 0, 0], [5, 9, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"  ,"[6, 12, 23, 44, 85, 165, 316, 587, 1048, 1794]"
            8 ,"[[2, 7, 15, 28, 51, 94], [5, 8, 13, 23, 43, 0], [3, 5, 10, 20, 0, 0], [2, 5, 10, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[2, 7, 15, 28, 51, 94, 174, 317, 560, 953]"
            9 ,"[[5, 10, 16, 27, 48, 91], [5, 6, 11, 21, 43, 0], [1, 5, 10, 22, 0, 0], [4, 5, 12, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"      ,"[5, 10, 16, 27, 48, 91, 181, 362, 703, 1304]"
           10 ,"[[1, 7, 19, 39, 70, 122], [6, 12, 20, 31, 52, 0], [6, 8, 11, 21, 0, 0], [2, 3, 10, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[1, 7, 19, 39, 70, 122, 218, 400, 735, 1321]"
           11 ,"[[5, 10, 20, 36, 63, 115], [5, 10, 16, 27, 52, 0], [5, 6, 11, 25, 0, 0], [1, 5, 14, 0, 0, 0], [4, 9, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[5, 10, 20, 36, 63, 115, 220, 425, 801, 1448]"
           12 ,"[[4, 7, 11, 18, 33, 66], [3, 4, 7, 15, 33, 0], [1, 3, 8, 18, 0, 0], [2, 5, 10, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[4, 7, 11, 18, 33, 66, 134, 263, 490, 865]"
           13 ,"[[1, 2, 8, 23, 52, 103], [1, 6, 15, 29, 51, 0], [5, 9, 14, 22, 0, 0], [4, 5, 8, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"        ,"[1, 2, 8, 23, 52, 103, 189, 330, 555, 904]"
           14 ,"[[6, 9, 13, 22, 43, 91], [3, 4, 9, 21, 48, 0], [1, 5, 12, 27, 0, 0], [4, 7, 15, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"        ,"[6, 9, 13, 22, 43, 91, 194, 398, 772, 1413]"
           15 ,"[[3, 4, 9, 23, 52, 107], [1, 5, 14, 29, 55, 0], [4, 9, 15, 26, 0, 0], [5, 6, 11, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"       ,"[3, 4, 9, 23, 52, 107, 208, 388, 697, 1206]"
           16 ,"[[6, 11, 18, 30, 54, 104], [5, 7, 12, 24, 50, 0], [2, 5, 12, 26, 0, 0], [3, 7, 14, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[6, 11, 18, 30, 54, 104, 204, 391, 718, 1257]"
           17 ,"[[1, 4, 10, 25, 59, 127], [3, 6, 15, 34, 68, 0], [3, 9, 19, 34, 0, 0], [6, 10, 15, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[1, 4, 10, 25, 59, 127, 250, 456, 781, 1270]"
           18 ,"[[5, 11, 23, 43, 76, 133], [6, 12, 20, 33, 57, 0], [6, 8, 13, 24, 0, 0], [2, 5, 11, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[5, 11, 23, 43, 76, 133, 234, 411, 711, 1199]"
           19 ,"[[2, 4, 8, 20, 49, 110], [2, 4, 12, 29, 61, 0], [2, 8, 17, 32, 0, 0], [6, 9, 15, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[2, 4, 8, 20, 49, 110, 227, 436, 788, 1352]"
           20 ,"[[3, 6, 10, 19, 41, 89], [3, 4, 9, 22, 48, 0], [1, 5, 13, 26, 0, 0], [4, 8, 13, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"        ,"[3, 6, 10, 19, 41, 89, 182, 346, 615, 1032]"
           21 ,"[[5, 8, 14, 27, 52, 99], [3, 6, 13, 25, 47, 0], [3, 7, 12, 22, 0, 0], [4, 5, 10, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"       ,"[5, 8, 14, 27, 52, 99, 187, 348, 631, 1106]"
           22 ,"[[1, 7, 19, 41, 78, 141], [6, 12, 22, 37, 63, 0], [6, 10, 15, 26, 0, 0], [4, 5, 11, 0, 0, 0], [1, 6, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"    ,"[1, 7, 19, 41, 78, 141, 252, 449, 791, 1363]"
           23 ,"[[5, 10, 20, 37, 68, 128], [5, 10, 17, 31, 60, 0], [5, 7, 14, 29, 0, 0], [2, 7, 15, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[5, 10, 20, 37, 68, 128, 243, 453, 815, 1406]"
           24 ,"[[1, 2, 6, 15, 33, 69], [1, 4, 9, 18, 36, 0], [3, 5, 9, 18, 0, 0], [2, 4, 9, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"           ,"[1, 2, 6, 15, 33, 69, 140, 274, 513, 916]"
           25 ,"[[1, 7, 16, 34, 68, 127], [6, 9, 18, 34, 59, 0], [3, 9, 16, 25, 0, 0], [6, 7, 9, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[1, 7, 16, 34, 68, 127, 223, 372, 595, 919]"
           26 ,"[[5, 7, 11, 21, 42, 82], [2, 4, 10, 21, 40, 0], [2, 6, 11, 19, 0, 0], [4, 5, 8, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"        ,"[5, 7, 11, 21, 42, 82, 154, 278, 483, 809]"
           27 ,"[[6, 10, 16, 29, 55, 104], [4, 6, 13, 26, 49, 0], [2, 7, 13, 23, 0, 0], [5, 6, 10, 0, 0, 0], [1, 4, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[6, 10, 16, 29, 55, 104, 193, 349, 612, 1038]"
           28 ,"[[5, 10, 18, 30, 49, 86], [5, 8, 12, 19, 37, 0], [3, 4, 7, 18, 0, 0], [1, 3, 11, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"       ,"[5, 10, 18, 30, 49, 86, 166, 334, 661, 1250]"
           29 ,"[[3, 8, 17, 35, 68, 125], [5, 9, 18, 33, 57, 0], [4, 9, 15, 24, 0, 0], [5, 6, 9, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[3, 8, 17, 35, 68, 125, 220, 374, 617, 990]"
           30 ,"[[5, 9, 16, 32, 64, 121], [4, 7, 16, 32, 57, 0], [3, 9, 16, 25, 0, 0], [6, 7, 9, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"       ,"[5, 9, 16, 32, 64, 121, 215, 362, 583, 905]"
           31 ,"[[6, 7, 14, 28, 52, 94], [1, 7, 14, 24, 42, 0], [6, 7, 10, 18, 0, 0], [1, 3, 8, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"        ,"[6, 7, 14, 28, 52, 94, 170, 307, 546, 945]"
           32 ,"[[3, 6, 10, 19, 42, 94], [3, 4, 9, 23, 52, 0], [1, 5, 14, 29, 0, 0], [4, 9, 15, 0, 0, 0], [5, 6, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"        ,"[3, 6, 10, 19, 42, 94, 197, 381, 685, 1158]"
